ID,Name,PNGFilename,Text,x,y,visible
0,Next,,Next,900,600,yes
1,Start,,Start Scenario,900,600,yes
2,Restart,,Restart,130,600,yes
3,Right,,Advertisements & Crowdfunding,130,600,yes
4,Left,,Venture Capital from Investors,900,600,yes
5,Stay,,Stay,900,600,yes
6,Leave,,Leave,130,600,yes
7,Adults,,Adults,900,600,yes
8,Disabled,,Disabled Community,130,600,yes
9,StaySame,,Keep Same Community,900,600,yes
10,General,,Expand to General Public,130,600,yes
11,Neurodivergent,,Neurodivergent Community,130,600,yes
12,Neurotypical,,Neurotypical Children,900,600,yes
13,Disabled1,,Focus on Disabled Community,130,600,yes
14,Product,,Focus on Product Development,900,600,yes
15,moreMoney,,Try to Get More Money,130,600,yes
16,Launch,,Launch Product,900,600,yes
17,Facial,,Facial Recognition,900,600,yes
18,moreMoney,,Body Language,130,600,yes
19,Disabled2,,Test with Disabled Community,130,600,yes
20,facialEnd,,Facial Recognition,900,600,yes
21,GenPublic,,Test to General Public,130,600,yes
22,General,,Keep it Niche,130,600,yes
23,General,,Offer to General Public,900,600,yes
